company_name,category,hq_address,hq_city,hq_state,country,main_phone,email,website,annual_revenue_usd,products_services,construction_mining_partnerships,broker_relevance,energy_broker_priority,source_urls
"Voltera","Construction Site EV Charging Infrastructure","117 University Avenue","Palo Alto","CA","United States","571-482-4001","info@volterapower.com","https://www.volterapower.com","Not disclosed (private; $150M+ total capital raised)","Turnkey EV charging infrastructure; high-performance charging hubs; 115+ MW capacity across 20+ sites; fleet depot charging; site development and utility interconnection","Antofagasta Minerals (largest mining BEV fleet globally - 53 vehicles); Einride heavy-duty freight charging (200 trucks/day); Port of Long Beach 65-charger facility; Amerit Fleet Solutions maintenance partnership; 70% market share in mining BEVs in Chile/Peru","High - direct construction site and mining EV charging infrastructure with proven mining deployments and turnkey site development","High","https://www.volterapower.com; https://im-mining.com/2024/10/22/voltera-advancing-electrification-in-chilean-mining/; https://www.zoominfo.com/c/voltera-inc/358003938"
"InCharge Energy","Fleet Charging EPC Services","1433 5th Street","Santa Monica","CA","United States","833-772-4638","","https://inchargeus.com","~$4,000,000 (estimated)","Full lifecycle EV charging EPC services; design-build engineering; electrical and lighting infrastructure; distributed energy solutions; fleet charging installation and maintenance","ABB E-mobility (60% majority stake); UPS/FedEx/PepsiCo fleet charging support; Foreseeson Technology (Canada partner); vertical integration across design/engineering/installation/maintenance","Medium - strong EPC construction capabilities for fleet charging sites; ABB backing provides industrial credibility; limited direct mining focus","Medium","https://inchargeus.com; https://www.zoominfo.com/c/in-charge-energy/462850261; https://lasvegassun.com/news/2026/jun/04/incharge-energy-raises-46m-to-scale-energy-solutio/"
"Beam Global","Portable Solar EV Chargers","5660 Eastgate Drive","San Diego","CA","United States","858-799-4583","","https://beamforall.com","$28,200,000 (FY2025)","EV ARC off-grid solar-powered EV charging systems; ARC Mobility trailer-based chargers; BeamSpot curbside chargers; no-construction rapid deployment; grid-outage resilience","Volvo Construction Equipment (bundled off-grid charging with electric construction equipment purchases); oil and gas multinational customer; government fleet deployments (Stanislaus County CA); zero-construction installation","High - off-grid solar charging ideal for construction sites without grid connections; Volvo CE partnership directly targets construction equipment electrification","High","https://beamforall.com; https://www.forconstructionpros.com/sustainability/news/22353399/volvo-construction-equipment-beam-global-volvo-ce-partner-to-offer-offgrid-ev-charging-systems; https://www.nasdaq.com/press-release/beam-global-reports-full-year-2025-operating-results-2026-04-09"
"Moxion Power","Mobile Battery Energy Storage","1414 Harbour Way S #1800","Richmond","CA","United States","833-669-4661","support@moxionpower.com","https://www.moxionpower.com","~$100,000,000 (first year revenue; FILED BANKRUPTCY Aug 2024)","MP-75/600 mobile battery energy storage units; zero-emission portable power; diesel generator replacement; last-mile electrification","Komatsu Construction (pilot for all-electric excavator powered by Moxion BESS); Sunbelt Rentals (multiyear purchase agreement for 600+ units); Amazon MGM Studios; film/entertainment/construction/utility customers","High relevance but HIGH RISK - mobile battery storage perfect for construction sites replacing diesel generators; however company filed bankruptcy August 2024","Low (bankruptcy)","https://www.moxionpower.com; https://www.businesswire.com/news/home/20220928005335/en/Moxion-Power-Secures-100-Million-Series-B; https://www.crunchbase.com/organization/moxion-power-co"
"Kempower","DC Fast Charging for Heavy Equipment","Hennalankatu 71","Lahti","","Finland","+358 29 0021900","","https://kempower.com","~$275,000,000 (EUR 251.3M FY2025)","Kempower Satellite charging systems; Kempower Movable chargers; ChargEye software; DC fast charging 40kW-600kW; off-highway EV charging solutions; modular power units","Epiroc (global supplier agreement for mining equipment charging); Volvo Construction Equipment (all-electric construction site charging); Atlas Copco Group; Husqvarna Construction; WattHub plaza (36 Satellites for trucks/construction equipment); EVRevolution partnership","Very High - direct charging solutions for mining and construction heavy equipment; global supplier agreements with major mining/construction OEMs","Very High","https://kempower.com; https://kempower.com/news/epiroc-kempower-global-supplier/; https://kempower.com/america/building-electric-with-electric/; https://investors.kempower.com/releases/financial-statement-release-2025-1-january-31-december-2025-record-order-intake-builds-momentum-into-2026/"
"ABB E-mobility","Megawatt Charging Systems","Affolternstrasse 44 (global); 950 W Elliott Road Suite 101 Tempe AZ 85284 (US)","Zurich (global) / Tempe (US)","AZ","Switzerland / United States","","","https://e-mobility.abb.com","Not disclosed separately (ABB total: $32.9B in 2024); 68000+ high-power chargers sold","OM X-Series megawatt-scale charging (800kW-10MW+); OM M-Series 1.2MW distributed charging; eMine FastCharge for mining; AC/DC chargers; 100+ charging points per system","Komatsu (end-to-end mining electrification platform); Hitachi CM (world's first fully electric ultra-large haul truck); CharIN Mining Taskforce with BHP/Rio Tinto; Sumitomo Corp mining fleet electrification; InCharge Energy (60% stake); PG&E flexible fleet charging","Very High - megawatt-scale charging directly serves mining haul trucks and heavy construction equipment; deep mining industry partnerships with major operators","Very High","https://e-mobility.abb.com; https://new.abb.com/news/detail/101319/abb-a-founding-member-as-charin-launches-new-mining-taskforce; https://www.act-news.com/news/abb-e-mobility-launches-om-x-series-for-megawatt-scale-fleet-charging/"
"Siemens eMobility / Heliox","Heavy-Duty Charging","BIC 1","Eindhoven","","Netherlands","","","https://www.heliox-energy.com","Not disclosed separately (Siemens AG total: EUR 75.9B)","SICHARGE D fast charging; DC fast charging for eBus/eTruck/marine/port/mining; depot and en-route charging; IoT-enabled hardware/software/services; 40kW to megawatt charging range","Hamburg public transport (553 charging points/50MW); E.ON Drive Infrastructure (global framework); OMV heavy transport electrification; Damera Corporation bus fleet charging; production/R&D in Germany/Portugal/US/India/Netherlands","High - heavy-duty charging for buses/trucks/ports with emerging mining applications; Siemens industrial brand recognition strong in construction sector","High","https://chargedevs.com/newswire/siemens-combines-emobility-and-heliox-ev-charging-business-units/; https://press.siemens.com/global/en/pressrelease/siemens-acquires-heliox-specialist-ebus-and-etruck-fast-charging-solutions; https://www.heliox-energy.com"
"ChargePoint","Commercial Fleet Charging","240 East Hacienda Avenue","Campbell","CA","United States","408-841-4500","","https://www.chargepoint.com","$417,100,000 (FY2025)","Level 2 and DC fast charging stations; fleet depot/mobility/home software; design/build EPC services; energy management; 4000+ commercial/fleet customers; largest EV charging network","Eaton (integrated EV charging and power management); design/build services from site analysis through permitting and construction; telematics/fuel card/fleet management integrations; no specific mining partnerships identified","Medium - broad commercial fleet charging with strong design/build construction services; limited direct mining/heavy construction equipment focus","Medium","https://www.chargepoint.com; https://investors.chargepoint.com; https://www.chargepoint.com/about/news/chargepoint-reports-fourth-quarter-and-full-fiscal-year-2025-financial-results"
"Blink Charging","Commercial Charging","17301 Melford Boulevard","Bowie","MD","United States","305-521-0200","","https://blinkcharging.com","$106,300,000 (FY2025)","Level 2 and DC fast charging stations; Blink Network cloud management; EV build-out resources for construction bidding; residential/commercial/fleet charging equipment","Construction site EV charging integration services; EV build-out resources for construction project bidding; nationwide distributor network; airport/hotel/retail/municipal installations; no specific mining partnerships","Medium - EV charger integration into construction projects helps contractors bid competitively; limited heavy equipment or mining focus","Medium","https://blinkcharging.com; https://blinkcharging.com/host-a-station/construction; https://companiesmarketcap.com/blink-charging/revenue/"
"Aggreko","Temporary Power for Construction","4540 Kendrick Plaza Drive Suite 100","Houston","TX","United States","800-244-7356","aggreko@aggreko.com","https://www.aggreko.com","$2,850,000,000 (2024; ~$3.2B projected 2025)","Modular power generators; mobile power solutions; temperature control; energy storage; dehumidification; 2.5kW-200MW+ temporary power; bridge power for off-grid sites","Caterpillar (strategic partnership 2022); 50+ years mining industry experience; construction site power from day-hire to 20-year contracts; mine exploration/construction/commissioning/production power; 200+ locations in 80 countries; 8200+ employees","Very High - core temporary power provider for construction and mining industries; 50+ years track record; Caterpillar strategic partner; global scale","Very High","https://www.aggreko.com; https://www.aggreko.com/en-us/sectors/mining; https://www.aggreko.com/en/sectors/construction; https://en.wikipedia.org/wiki/Aggreko"
"Caterpillar Electric Power","Microgrid and Gensets","510 Lake Cook Road Suite 100","Deerfield","IL","United States","224-551-4000","","https://www.cat.com","$67,600,000,000 (FY2025 total company)","Diesel/gas/hybrid generator sets; microgrids (10kW-100MW); battery energy storage; solar PV integration; microgrid controllers; data center power solutions","First Solar (microgrid solar partnership); 7.5MW battery storage at DRC gold mine; Aggreko strategic partnership; mining/construction equipment electrification; 2GW power deployment for AI infrastructure; Fluidic Energy storage investment","Very High - world's leading construction/mining equipment manufacturer with integrated power solutions; microgrid and genset solutions purpose-built for remote construction/mining sites","Very High","https://www.cat.com; https://www.cat.com/en_US/by-industry/electric-power/electric-power-industries/microgrids.html; https://www.caterpillar.com/en/news/corporate-press-releases/h/caterpillar-reports-fourth-quarter-and-full-year-2025-results.html"
"Cummins Power Generation","Power Solutions","1400 73rd Avenue NE","Minneapolis","MN","United States","812-377-5000","","https://www.cummins.com","$33,670,000,000 (FY2025 total company)","Diesel/gas/hybrid generator sets 2.5kW-3.5MW; transfer switches; hybrid-electric mining powertrains; CPCBIV+ compliant gensets; mobile and stationary power solutions","Komatsu (joint mining hybrid powertrain development); hybrid-electric ultra-class mining haul truck deployment at Lundin Mining Caserones copper mine; EXCON 2025 construction/infrastructure power showcase; global mining service network","Very High - core power generation for construction/mining with emerging hybrid-electric mining equipment partnerships; global service network for remote operations","Very High","https://www.cummins.com; https://www.cummins.com/en-na/news/releases/2025/09/16/cummins-and-komatsu-collaborate-joint-mining-hybrid-development-and; https://www.cummins.com/generators/mining-power-solutions-2023"
"Wallbox","Commercial Charging","Carrer del Foc 68","Barcelona","","Spain","+34 932 209 976","contact@wallbox.com","https://wallbox.com","~$168,000,000 (FY2025)","Pulsar AC chargers; Supernova DC fast chargers; Quasar bidirectional chargers; commercial/residential charging solutions; Arlington TX manufacturing facility","Codale Electric Supply (Mountain West deployment); ChargeLab (commercial software integration); Charli Charging (commercial environments); $25.6M Washington State multifamily housing EV deployment; no specific mining partnerships","Low - primarily residential/commercial/multifamily focus; limited construction site or mining equipment charging capability","Low","https://wallbox.com; https://www.businesswire.com/news/home/20251120959386/en/Wallbox-and-Codale-Expand-Partnership; https://en.wikipedia.org/wiki/Wallbox"
"Powin Energy","Battery Energy Storage","20550 Southwest 115th Avenue","Tualatin","OR","United States","503-598-6659","media@powinenergy.com","https://powin.com","~$740,000,000 (2025; FILED BANKRUPTCY June 2025; acquired by FlexGen)","Centipede Stack800 battery energy storage systems (BESS); utility-scale storage; microgrid integration; long-duration energy solutions; manufacturing in Mexico/Vietnam/China/US","Ravenswood microgrid project (BHE Renewables); Pulse Clean Energy (50MW/110MWh Scotland BESS); Brazil utility-scale storage with UCB; manufacturing partnerships for US production; acquired by FlexGen post-bankruptcy","Medium relevance but HIGH RISK - utility-scale BESS could serve construction/mining microgrids; however company filed bankruptcy June 2025 and was acquired by FlexGen","Low (bankruptcy/acquired by FlexGen)","https://powin.com; https://www.energy-storage.news/north-america-energy-storage-acquisitions-flexgen-acquires-powin-glencore-acquires-li-cycle/; https://time.com/6980458/powin/"
"Nuvve","V2G and Fleet Management","2488 Historic Decatur Road Suite 230","San Diego","CA","United States","619-483-3448","","https://nuvve.com","~$4,800,000 (FY2025 estimated)","Vehicle-to-grid (V2G) technology; GIVe platform for grid services; fleet charging management; FleetBox charging solutions; microgrid and BESS solutions; turnkey fleet electrification","Levo Mobility JV with Stonepeak ($750M commitment for fleet electrification); Blue Bird electric school bus V2G program; New Mexico $400M government fleet contract (5000+ vehicles); EPC construction partner model for fleet deployments","Medium - V2G and fleet management could serve construction fleet yards; $400M NM government contract shows scale; primarily school bus/municipal focus rather than construction/mining","Medium","https://nuvve.com; https://investors.nuvve.com/news-releases/news-release-details/nuvve-and-stonepeak-finalize-levo-joint-venture-providing-750; https://www.nasdaq.com/press-release/nuvve-provides-fourth-quarter-and-full-year-2025-financial-update-2026-03-31"
