Organization Name,Acronym,Type,HQ Address,Phone,Email,Website,Member Count,Relevance to Electric Equipment / Energy Brokerage,Source URL
"Associated General Contractors of America",AGC,"National Trade Association","2111 Wilson Blvd Suite 1000, Arlington, VA 22201","(703) 548-3118",info@agc.org,https://www.agc.org,"27,000+ member firms (6,500 general contractors, 8,800 specialty firms, 10,400 suppliers)","Top-tier target. Largest US construction trade group. Members include major general contractors adopting electric equipment. AGC advocacy covers infrastructure policy and sustainability standards. Networking access to thousands of contractors who procure heavy equipment and energy services.",https://www.agc.org/contact-us
"Associated Builders and Contractors",ABC,"National Trade Association","440 1st St NW Ste 200, Washington, DC 20001","(202) 595-1505",questions@abc.org,https://www.abc.org,"23,000+ members","High relevance. Merit shop contractors representing a massive segment of commercial and industrial construction. Members are equipment buyers and energy consumers on jobsites. ABC chapters run equipment expos and training programs.",https://www.abc.org/About-ABC/Contact-Us
"Association of Equipment Manufacturers",AEM,"National Trade Association / Show Organizer","6737 W. Washington St Suite 2400, Milwaukee, WI 53214","(414) 272-0943",aem@aem.org,https://www.aem.org,"1,100+ member companies (200+ product lines)","Critical target. AEM members ARE the equipment manufacturers including those building electric construction machines (Caterpillar, Volvo CE, Bobcat, etc.). AEM organizes CONEXPO-CON/AGG. Direct access to OEMs driving electrification.",https://www.aem.org/about/contact-information
"American Rental Association",ARA,"National Trade Association","1900 19th Street, Moline, IL 61265","(800) 334-2177",associatemembership@ararental.org,https://ararental.org,"10,000+ rental businesses and 1,000+ manufacturers/suppliers","High relevance. Rental companies are early adopters of electric equipment due to fleet economics and ESG commitments. Energy brokers can offer charging infrastructure and energy management solutions to rental yards.",https://ararental.org/contact
"Associated Equipment Distributors",AED,"National Trade Association","650 E. Algonquin Rd Suite 305, Schaumburg, IL 60173","(630) 574-0650",help@aednet.org,https://www.aednet.org,"800+ industrial equipment companies","High relevance. AED members are the dealer network for construction equipment OEMs. Distributors are the sales channel for electric machines and need energy/charging solutions at their facilities and customer sites.",https://aednet.org/contact-us/
"National Utility Contractors Association",NUCA,"National Trade Association","3925 Chain Bridge Rd Suite 300, Fairfax, VA 22030","(703) 358-9300",nuca@nuca.com,https://nuca.com,"1,600+ member firms across 35 chapters","Very high relevance. NUCA members build water, sewer, gas, electric, and telecom infrastructure. They are directly involved in grid construction and electrical utility work. Natural partners for energy brokers offering electric equipment and grid services.",https://nuca.com/
"National Association of Home Builders",NAHB,"National Trade Association","1201 15th St NW, Washington, DC 20005","(800) 368-5242",info@nahb.org,https://www.nahb.org,"140,000+ members","Large membership base. Residential builders increasingly adopt electric equipment for site work. NAHB members need energy solutions for construction sites and are key contacts for residential electrification (heat pumps, EV charging in new builds).",https://www.nahb.org/why-nahb/about-nahb/contact-us
"National Electrical Contractors Association",NECA,"National Trade Association","1201 Pennsylvania Ave NW Suite 1200, Washington, DC 20004","(202) 991-6300",neca@necanet.org,https://www.necanet.org,"4,000 member companies (70,000+ firms in network, 500,000 electrical workers)","Extremely high relevance. NECA members are the electrical contractors who install charging infrastructure, electrical systems, and energy equipment. They are both customers for energy brokerage and partners for deployment of electric construction equipment charging.",https://www.necanet.org/contact-us
"Canadian Construction Association",CCA,"National Trade Association (Canada)","250 Albert St Suite 300, Ottawa, ON K1P 6M1, Canada","(613) 236-9455",info@cca-acc.com,https://www.cca-acc.com,"20,000+ member firms across 63 partner associations","Key Canadian market entry point. CCA represents the full spectrum of Canadian construction. Canada has aggressive clean construction mandates and provincial electrification incentives creating strong demand for electric equipment and energy services.",https://www.cca-acc.com/contact-us/
"Canadian Electrical Contractors Association",CECA,"National Trade Association (Canada)","702-10 Carlson Ct, Etobicoke, ON M9W 6L2, Canada","(416) 491-2414",ceca@ceca.org,https://www.ceca.org,"8,000+ electrical contractors (70,000 employees)","High relevance. Canadian electrical contractors install charging infrastructure and energy systems. Partners for electric equipment deployment and energy brokerage services across Canadian provinces.",https://ceca.org/contact/
"National Demolition Association",NDA,"National Trade Association","2001 K St NW Floor 3, Washington, DC 20006","(202) 367-2480",info@demolitionassociation.com,https://www.demolitionassociation.com,"500-1,000 member companies (US and Canada)","Moderate-high relevance. Demolition companies operate heavy equipment fleets (excavators, loaders, crushers) that are electrification candidates. Urban demolition sites face strict emissions regulations driving electric equipment adoption.",https://www.demolitionassociation.com/About
"Construction Industry Institute",CII,"Research Consortium","3925 W. Braker Lane (R4500), Austin, TX 78759","(512) 232-3000",cii@construction-institute.org,https://www.construction-institute.org,"120+ member companies","Moderate relevance. CII members are major owner companies and engineering firms. Research consortium influences industry best practices including sustainability and equipment procurement standards. Thought leadership channel for electric equipment adoption.",https://www.construction-institute.org/about-cii
"CONEXPO-CON/AGG (organized by AEM)",CONEXPO,"Trade Show / Event","Las Vegas Convention Center, 3150 Paradise Rd, Las Vegas, NV 89109","(864) 208-3372",exhibitors@aem.org,https://www.conexpoconagg.com,"130,000+ attendees; 2,800+ exhibitors","Critical event. Largest construction trade show in North America (held every 3 years). Next show March 3-7 2026 in Las Vegas. Premier venue for showcasing electric construction equipment. Energy brokers can exhibit, network, and generate leads from the entire industry.",https://www.conexpoconagg.com/contact-us
"C40 Cities Clean Construction Accelerator",C40 CCA,"International Coalition / Accelerator","3 Queen Victoria St, London EC4N 4TQ, UK (C40 HQ)",N/A,cleanconstruction@c40.org,https://www.c40.org/accelerators/clean-construction/,"8 signatory cities (LA, NYC, San Francisco, London, Oslo, Mexico City, Budapest, Milan)","Very high relevance. C40 cities are mandating clean construction and zero-emission equipment on public projects. These cities collectively spend billions on construction and are creating the regulatory framework that drives electric equipment demand. Direct policy influence.",https://www.c40.org/accelerators/clean-construction/
"North American Electric Construction Coalition",NAECC,"Municipal Coalition","c/o NYC Mayor's Office of Climate & Environmental Justice, City Hall, New York, NY 10007",N/A,cleanconstruction@c40.org,https://climate.cityofnewyork.us,"6 cities/counties + 10 industry partners ($13B+ combined construction spending)","Extremely high relevance. NAECC is THE coalition specifically focused on scaling electric construction equipment markets in North America. Members include NYC, Austin, San Diego, Montreal, Boulder County. Coalition partners commit to purchasing/using electric construction equipment. Direct path to public procurement contracts.",https://chargedevs.com/newswire/seven-cities-form-north-american-electric-construction-coalition/
"AGC of California",AGC-CA,"State Chapter (AGC)","3095 Beacon Blvd, West Sacramento, CA 95691","(916) 371-5030",info@agc-ca.org,https://www.agc-ca.org,"1,500+ member firms (estimated)","Very high relevance. California leads in zero-emission equipment mandates (CARB regulations). AGC-CA members face the strictest construction equipment emissions rules in North America creating urgent demand for electric equipment and energy solutions.",https://www.agc-ca.org/about/contact/
"AGC of Texas",AGC-TX,"State Chapter (AGC)","300 Barton Springs Rd, Austin, TX 78704","(512) 478-4691",info@agctx.org,https://www.agctx.org,"2,000+ member firms (estimated)","High relevance. Texas has massive construction volume and growing grid infrastructure. ERCOT market creates unique energy brokerage opportunities. Texas construction firms are large equipment buyers increasingly evaluating electric options.",https://www.agctx.org/contact-us.html
