Dealer Name,OEM Brand,City,State/Province,Street Address,Phone Number,Website,Branches in Territory,Source URL
Peterson Cat,Caterpillar,Clackamas,OR,"9550 SE Clackamas Rd, Clackamas, OR 97015",(503) 280-1899,https://www.petersoncat.com,7,https://www.petersoncat.com/about/locations
Peterson Cat - Eugene,Caterpillar,Eugene,OR,"2300 Henderson Avenue, Eugene, OR 97403",(541) 302-9199,https://www.petersoncat.com,7,https://www.petersoncat.com/about/locations
Peterson Cat - Albany,Caterpillar,Albany,OR,"30815 Highway 34 SW, Albany, OR 97321",(541) 791-9133,https://www.petersoncat.com,7,https://www.petersoncat.com/about/locations
NC Machinery,Caterpillar,Anchorage,AK,"6450 Arctic Boulevard, Anchorage, AK 99518",(907) 786-7500,https://www.ncmachinery.com,6,https://www.ncmachinery.com/about-us/locations/
NC Machinery (WA HQ),Caterpillar,Seattle,WA,"Serves western & central Washington and all Alaska",800-478-7000,https://www.ncmachinery.com,6,https://www.ncmachinery.com/about-us/locations/
Wagner Equipment Co. (HQ),Caterpillar,Aurora,CO,"18000 Smith Road, Aurora, CO 80011",(303) 739-3000,https://wagnerequipment.com,12,https://wagnerequipment.com/dealer-locations/
Wagner Equipment Co. - Albuquerque,Caterpillar,Albuquerque,NM,"4000 Osuna Road NE, Albuquerque, NM 87109",(505) 345-8411,https://wagnerequipment.com,12,https://wagnerequipment.com/dealer-locations/
Wagner Equipment Co. - Grand Junction,Caterpillar,Grand Junction,CO,"2322 I-70 Frontage Road, Grand Junction, CO",(970) 579-4139,https://wagnerequipment.com,12,https://wagnerequipment.com/dealer-locations/
Ziegler Cat (HQ),Caterpillar,Bloomington,MN,"901 W 94th Street, Bloomington, MN 55420",(952) 888-4121,https://www.zieglercat.com,25,https://www.zieglercat.com/contact/minneapolis/
Michigan CAT / MacAllister (HQ),Caterpillar,Novi,MI,"24800 Novi Road, Novi, MI 48375",(248) 349-4800,https://www.michigancat.com,9,https://www.michigancat.com/about/locations/
Michigan CAT - Grand Rapids,Caterpillar,Grand Rapids,MI,"7700 Caterpillar Drive, Grand Rapids, MI 49548",(616) 827-8000,https://www.michigancat.com,9,https://www.michigancat.com/about/locations/
Michigan CAT - Saginaw,Caterpillar,Saginaw,MI,"3141 Wolf Road, Saginaw, MI 49601",(989) 752-7300,https://www.michigancat.com,9,https://www.michigancat.com/about/locations/
Gregory Poole (HQ),Caterpillar,Raleigh,NC,"701 Blue Ridge Road, Raleigh, NC 27602",(800) 447-3125,https://www.gregorypoole.com,25,https://www.gregorypoole.com/sales-reps-locations/locations/
Gregory Poole - Hope Mills,Caterpillar,Hope Mills,NC,"5633 US Highway 301 South, Hope Mills, NC 28348",(888) 646-7368,https://www.gregorypoole.com,25,https://www.gregorypoole.com/sales-reps-locations/locations/
Carter Machinery (VA HQ),Caterpillar,Salem,VA,"Serving VA, MD, DE, and Washington DC",(888) 344-7368,https://www.cartermachinery.com,15,https://www.cartermachinery.com/locations/
Carter Machinery - Chesapeake,Caterpillar,Chesapeake,VA,"3420 Business Center Drive, Chesapeake, VA 23323",(888) 344-7368,https://www.cartermachinery.com,15,https://www.cartermachinery.com/locations/
Carter Machinery - Myersville,Caterpillar,Myersville,MD,"9460 Myersville Rd, Myersville, MD",(888) 344-7368,https://www.cartermachinery.com,15,https://www.cartermachinery.com/locations/myersville-md-sales/
Carter Machinery - Baltimore,Caterpillar,Baltimore,MD,"8427 Pulaski Hwy, Baltimore, MD",(888) 344-7368,https://www.cartermachinery.com,15,https://www.cartermachinery.com/locations/baltimore-md/
Thompson Machinery (HQ),Caterpillar,La Vergne,TN,"1245 Bridgestone Parkway, La Vergne, TN 37086",(615) 744-7842,https://thompsonmachinery.com,19,https://thompsonmachinery.com/contact-us/locations/
Thompson Machinery - Memphis,Caterpillar,Memphis,TN,"1291 Corporate Avenue, Memphis, TN 38132",(901) 332-3051,https://thompsonmachinery.com,19,https://thompsonmachinery.com/contact-us/locations/
Louisiana Cat (HQ),Caterpillar,Reserve,LA,"3799 W Airline Highway, Reserve, LA 70084",(866) 843-7440,https://www.louisianacat.com,10,https://www.louisianacat.com/our-company/locations/
Louisiana Cat - Hammond,Caterpillar,Hammond,LA,"42440 Jackson Rd, Hammond, LA 70403",(985) 340-2820,https://www.louisianacat.com,10,https://www.louisianacat.com/company/locations/louisiana-cat-hammond/
Warren CAT - Oklahoma City,Caterpillar,Oklahoma City,OK,"4501 West Reno Avenue, Oklahoma City, OK 73127",(405) 947-6771,https://www.warrencat.com,8,https://www.warrencat.com/locations/
Warren CAT - Tulsa,Caterpillar,Tulsa,OK,"3601 N Garnett Rd, Tulsa, OK 74116",(918) 660-2353,https://www.warrencat.com,8,https://www.warrencat.com/locations/
