company_name,category,hq_address,hq_city,hq_state,hq_zip,country,main_phone,email,website,annual_revenue_usd,fleet_size,electric_equipment_status,sustainability_targets,energy_broker_priority,key_regions,source_urls
"Waste Management Inc (WM)",Waste Management / Environmental Services,"800 Capitol St Ste 3000",Houston,TX,77002,USA,(713) 512-6200,wmcares@wm.com,wm.com,"$25.2B (FY2025)","18000+ collection vehicles; 12000+ CNG trucks; largest heavy-duty natural gas fleet in North America","$200M investment in automated fleet upgrades; piloting electric collection vehicles; CNG-dominant fleet transitioning; exploring battery-electric trucks","42% absolute Scope 1 and 2 GHG reduction by 2031 (2021 base year; SBTi approved); 4x emissions offset/avoid by 2038; 60% increase in materials recovery to 25M tons/yr by 2030; completed 7 RNG facilities and 9 recycling automation projects in 2025",Tier 1 - High Priority,"All 50 US states; Canada; extensive landfill and collection network nationwide","https://www.wm.com; https://sustainability.wm.com/downloads/WM_2025_Sustainability_Report.pdf; https://www.wastetodaymagazine.com/news/wm-reports-revenue-earnings-growth-in-q4-and-full-year-2025/"
"Republic Services Inc",Waste Management / Environmental Services,"5353 E City North Dr",Phoenix,AZ,85054,USA,(480) 285-6018,via republicservices.com/contact-us,republicservices.com,"$16.6B (FY2025); 2026 guidance $17.05-17.15B","16000+ collection vehicles; 180+ electric collection vehicles deployed; 32 EV charging facilities operational","Industry leader in EV deployment: 180+ electric collection vehicles and 32 charging facilities at year-end 2025; adding 150 EVs in 2026; RNG projects targeting $100M revenue by decade-end","15% operational GHG reduction achieved (2017 baseline; ahead of 10% by 2025 target); Paris Agreement-aligned GHG reduction targets; expanding RNG infrastructure",Tier 1 - High Priority,"41 US states; Puerto Rico; second-largest US waste and recycling company","https://www.republicservices.com; https://www.prnewswire.com/news-releases/republic-services-inc-reports-fourth-quarter-and-full-year-2025-results-provides-2026-full-year-financial-guidance-302689912.html"
"GFL Environmental Inc",Waste Management / Environmental Services,"100 New Park Place Ste 500",Vaughan,ON,L4K0H9,Canada,(866) 417-2797,info@gflenv.com,gflenv.com,"$6.6B (FY2025); 2026 guidance $7.3-7.3B","10000+ solid and liquid waste trucks; 15000+ employees","30-40 battery electric vehicles (BEVs) deployed by end of 2025 in Gainesville FL; 50-70% of near-term truck replacements planned as CNG; first electric truck deployed in Squamish BC","30% absolute Scope 1 and 2 emissions reduction by 2030 (2021 base year); 40% increase in recyclables recovered at MRFs by 2030; double beneficial use of biogas by 2030",Tier 1 - High Priority,"Canada-wide; US operations across multiple states; fourth-largest waste company in North America","https://gflenv.com; https://gflenv.com/about-us/sustainability/; https://investors.gflenv.com/English/news/news-details/2026/GFL-Environmental-Reports-Fourth-Quarter-and-Full-Year-2025-Results-Provides-Full-Year-2026-Guidance/default.aspx"
"Waste Connections Inc",Waste Management / Environmental Services,"3 Waterway Square Place Ste 110","The Woodlands (Spring)",TX,77380,USA,(832) 442-2200,via wasteconnections.com,wasteconnections.com,"$9.47B (FY2025); 2026 guidance $9.9-9.95B","9000+ collection vehicles (2020 baseline; expanding via acquisitions)","Testing electric collection vehicles in NYC commercial franchise; additional EV units on order; investing in RNG facilities and MRFs","15% Scope 1 and 2 emissions reduction target; achieved 19% reduction from 2019 baseline and 35% intensity reduction; 50% increase in resources recovered; 40% increase in biogas recovery",Tier 1 - High Priority,"44 US states; 6 Canadian provinces; third-largest US waste company","https://www.wasteconnections.com; https://sustainability.wasteconnections.com/; https://investors.wasteconnections.com/news/news-details/2026/Waste-Connections-Reports-Fourth-Quarter-2025-Results-and-Provides-2026-Outlook/default.aspx"
"Clean Harbors Inc",Waste Management / Environmental Services,"42 Longwater Drive",Norwell,MA,02061,USA,(781) 792-5000,via cleanharbors.com,cleanharbors.com,"$6.03B (FY2025; record year)","15000+ vehicles; one of 20 largest private motor carrier fleets in North America; $50M fleet expansion investment","Asset Refurbishment Program rebuilds vehicles to like-new quality; refurbished trucks average 20% better fuel economy; exploring alternative fuel technologies","3.5M+ metric tons GHG avoidance in 2023; sustainability embedded since 1980 founding; 226M gallons waste oil collected; 3.5B lbs materials recovered; 16M gallons solvent recycled annually",Tier 1 - High Priority,"US and Canada; hazardous waste; environmental services; industrial services; oil re-refining","https://www.cleanharbors.com; https://ir.cleanharbors.com/news-releases/news-release-details/clean-harbors-achieves-more-35-million-metric-tons-greenhouse; https://www.nasdaq.com/press-release/clean-harbors-announces-fourth-quarter-and-full-year-2025-financial-results-2026-02"
"Casella Waste Systems Inc",Waste Management / Environmental Services,"25 Greens Hill Lane",Rutland,VT,05701,USA,(802) 689-5264,onlineservicerequest@casella.com,casella.com,"$1.84B (FY2025)","2500+ vehicles (est.); 5600 employees; 31 collection operations; 12 disposal facilities; 7 recycling facilities; 29 transfer stations","Exploring alternative fuel and fleet efficiency technologies; routing optimization for fuel reduction","Focus on recycling and resource management; emission reduction through operational efficiency; organic waste diversion programs; 2026 outlook positive with sustained pricing and cost savings",Tier 2 - Medium Priority,"Northeastern US: Vermont; New York; New Hampshire; Maine; Massachusetts; Pennsylvania","https://www.casella.com; https://wasteadvantagemag.com/casella-waste-systems-enhances-fleet-operations-and-sustainability/; https://www.stocktitan.net/sec-filings/CWST/10-k-casella-waste-systems-inc-files-annual-report-bbd367d491cf.html"
"Stericycle Inc (WM subsidiary)",Waste Management / Environmental Services,"2355 Waukegan Road",Bannockburn,IL,60015,USA,(847) 367-5910,via stericycle.com,stericycle.com,"$2.62B (TTM pre-acquisition)","700+ hazardous waste vehicles; 210+ Shred-it mobile collection vehicles; specialized medical waste fleet","Net zero Scope 1 and 2 in UK by 2045 and globally by 2050; drove 2.3M fewer miles via routing efficiencies; 3438 MT CO2e reduction in H1 2023","Net zero emissions globally by 2050 (UK by 2045); partnered with Arbor Day Foundation planting 120000+ trees; acquired by WM November 2024 - now integrated into WM sustainability framework",Tier 2 - Medium Priority,"US nationwide; Canada; UK; specialized medical and hazardous waste; acquired by WM Nov 2024","https://www.stericycle.com; https://investors.wm.com/news-releases/news-release-details/wm-completes-acquisition-stericycle; https://www.stericycle.com/en-us/about-us/social-responsibility/environmental-sustainability"
"Reworld (formerly Covanta)",Waste Management / Environmental Services,"100 Park Ave",Florham Park,NJ,07932,USA,(800) 950-8749,via reworldwaste.com/contact-us,reworldwaste.com,"$2.1B (est.; private company since EQT acquisition)","90+ waste-to-energy and environmental services facilities; 4500 employees; specialized waste-to-energy fleet","Waste-to-energy operations generate electricity from waste incineration; limited traditional fleet EV data; facility-based energy generation model","25% increase in waste recycled or reused (EQT sustainability metric); expanded from 50 to 90 facilities; rebranded from Covanta to Reworld April 2024; HQ moved to Florham Park Aug 2025",Tier 2 - Medium Priority,"US nationwide; UK; Europe; waste-to-energy; industrial waste management; metals recovery","https://www.reworldwaste.com; https://investors.reworldwaste.com/2025-08-07-Reworld-TM-Headquarters-Moves-to-Florham-Park,-NJ; https://en.wikipedia.org/wiki/Reworld"
"Vulcan Materials Company",Quarry / Aggregate Operator,"1200 Urban Center Drive",Birmingham,AL,35242,USA,(205) 298-3000,adamsm@vmcmail.com,vulcanmaterials.com,"$7.94B (FY2025)","400+ quarry and production facilities; Panamax-class self-unloading ships; extensive truck and rail fleet; 10961 employees","12% of product mix is low-carbon/recycled aggregates by late 2025; exploring sustainable materials and production methods; industry-leading environmental compliance","99% citation-free federal and state environmental inspections in 2025; largest US aggregates producer; sustainable materials including recycled aggregates and low-carbon concrete",Tier 1 - High Priority,"21 US states; Bahamas; Mexico; largest US construction aggregates producer","https://www.vulcanmaterials.com; https://www.stocktitan.net/sec-filings/VMC/10-k-vulcan-materials-co-files-annual-report-b7229fe038c6.html"
"Martin Marietta Materials Inc",Quarry / Aggregate Operator,"4123 Parklake Ave",Raleigh,NC,27612,USA,(919) 781-4550,via martinmarietta.com/contact-us,martinmarietta.com,"$6.2B (FY2025)","Operations across 28 states plus Canada and Bahamas; extensive quarry heavy equipment fleet; ~20M tons annual aggregates production from new acquisitions","Divesting Texas cement operations to eliminate ~50% of 2023 Scope 1 footprint; investing in alternative fuels and process efficiency at cement plants","63% absolute Scope 1 and 2 emissions reduction by 2035 (SBTi validated); 30% Scope 1 CO2e reduction in cement/magnesia by 2030 (2010 base); net zero emissions by 2050",Tier 1 - High Priority,"28 US states; Canada; Bahamas; second-largest US aggregates producer","https://www.martinmarietta.com; https://ir.martinmarietta.com/news-releases/news-release-details/martin-marietta-reports-fourth-quarter-and-full-year-2025; https://www.martinmarietta.com/sustainability"
